timestamp,timestamp_to,timestamp_utc,timestamp_to_utc,interval_minutes,metric_name,tpm,response_time,call_count,min_response_time,max_response_time,standard_deviation,total_call_time_per_minute,hour,minute,day_of_week,is_weekend,day_name,ml_weight,week_priority,data_age_days,data_quality,collection_strategy,is_recent_data,granularity_minutes,is_high_granularity,is_fine_granularity,granularity_category,push_notification_active,minutes_since_push,hour_sin,hour_cos,minute_sin,minute_cos,tpm_lag_1,response_time_lag_1,tpm_lag_2,response_time_lag_2,tpm_lag_3,response_time_lag_3,tpm_lag_5,response_time_lag_5,tpm_ma_3,response_time_ma_3,tpm_std_3,tpm_ma_5,response_time_ma_5,tpm_std_5,tpm_change,tpm_change_rate,response_time_change,sequence_id
2025-08-25 00:59:00+07:00,2025-08-31 23:59:00+07:00,2025-08-24 17:59:00+00:00,2025-08-31 16:59:00+00:00,10020.0,HttpDispatcher,122,88.0,1220341,1.13,60500,228,10.7,0,59,0,0,Monday,2,1,18,low,10-minute,0,10,0,0,hourly,0,419,0.0,1.0,-0.10452846326765342,0.9945218953682733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,88.0,0.0,122.0,88.0,0.0,0.0,0.0,0.0,0
2025-09-01 00:59:00+07:00,2025-09-07 23:59:00+07:00,2025-08-31 17:59:00+00:00,2025-09-07 16:59:00+00:00,10020.0,HttpDispatcher,199,93.9,1993328,1.19,5700,183,18.7,0,59,0,0,Monday,3,2,11,medium,5-minute,0,5,1,0,minute,0,419,0.0,1.0,-0.10452846326765342,0.9945218953682733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,93.9,0.0,199.0,93.9,0.0,0.0,0.0,0.0,0
2025-09-08 00:16:00+07:00,2025-09-12 12:16:00+07:00,2025-09-07 17:16:00+00:00,2025-09-12 05:16:00+00:00,6480.0,HttpDispatcher,202,96.8,1306045,1.05,10000,196,19.5,0,16,0,0,Monday,4,3,4,high,2-minute,1,2,1,1,minute,0,376,0.0,1.0,0.9945218953682734,-0.10452846326765333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,96.8,0.0,202.0,96.8,0.0,0.0,0.0,0.0,0
